network,s_init,s_temporal,policy,PR,observedPct,expectedPct,deficitPP,K95,C,R2,shuffleR2,matchedR2,peakSpeedMps,endpointRmsM,targetSeparationScatter,nearZero,missingWindow,boundaryPeak,multipleLargePeak,undefinedC,prepPC75,movePC75,predictionEvaluable
4,0.10000000000000001,0.10000000000000001,1,2.7674836447298166,99.999999999999986,45.38894591333645,-54.611054086663536,6,-1.9822882324842808,0.94998985880117237,-0.012656414222284695,0.94998985880117237,0.40723566550606155,0.028873054303641964,4.9067050367348131,0,0,0,4,0,11,6,1
4,0.10000000000000001,0.10000000000000001,2,3.0462461986130727,87.168613401010049,45.38894591333645,-41.779667487673599,6,-2.4058403420593053,0.937433166364813,-0.012403878291103565,NaN,0.42434301680403042,0.06180755638912909,2.2085085797936879,0,0,3,47,0,10,7,1
4,0.10000000000000001,0.10000000000000001,3,6.0602084534487508,20.372986191738267,45.38894591333645,25.015959721598183,6,-1.9392693843220665,0.96312711135172591,-0.010894140887127923,NaN,0.29635918344851059,0.028393683961770479,3.0197328724420802,0,0,1,74,0,7,7,1
4,0.10000000000000001,0.10000000000000001,4,6.5649831578140443,31.163082007365052,45.38894591333645,14.225863905971398,6,-2.3173920030239206,0.79173449484275749,-0.011040070865754092,0.89751791318301644,0.28347600202813206,0.060020719135826822,1.360766910780419,0,0,16,103,0,11,13,1
4,0.20000000000000001,0.10000000000000001,1,2.7719778890165796,99.999999999999986,45.258525548385933,-54.741474451614053,6,-0.71275931700889272,0.92600445104983464,-0.012075769020616245,0.92600445104983464,0.40761474967986366,0.029191349823133751,4.8646097051172843,0,0,0,5,0,13,8,1
4,0.20000000000000001,0.10000000000000001,4,6.5261586076785107,31.461834477410445,45.258525548385933,13.796691070975488,6,-0.91296866087147177,0.77264053107308017,-0.010997631640148553,0.86911049016445874,0.29198539255850986,0.065599408735225018,1.2065624014940766,0,0,18,97,0,13,14,1
4,0.10000000000000001,0.050000000000000003,1,2.7153906033915471,99.999999999999815,45.906883682097217,-54.093116317902599,6,-0.93911580785107795,0.99200893203085394,-0.012316356231986458,0.99200893203085394,0.4073264736623467,0.014841520442525199,9.5861372267983249,0,0,0,0,0,3,2,1
4,0.10000000000000001,0.050000000000000003,4,6.5658171717622116,31.144338343567078,45.906883682097217,14.762545338530138,6,-1.1597311768465755,0.889877076965505,-0.011082243737729591,0.91084492068736611,0.24987955746643209,0.0334260361189175,2.4838012603964081,0,0,3,130,0,6,6,1
4,0.10000000000000001,0.20000000000000001,1,2.9383568630296844,100.00000000000009,48.902782105484427,-51.097217894515659,7,-4.0401527233241108,0.75712562545294659,-0.01077524934130536,0.75712562545294659,0.41149969383167329,0.0555409413276063,2.6060752508710006,0,0,0,23,0,25,18,1
4,0.10000000000000001,0.20000000000000001,4,6.6001914744925934,31.216072105266345,48.902782105484427,17.686710000218081,7,-4.5250876449412329,0.59977025035726461,-0.010489359427162226,0.62749894646959947,0.37850960504170017,0.11177182410505761,0.77458552757914456,0,0,40,79,0,26,23,1
5,0.050000000000000003,0.10000000000000001,1,4.2119098292349815,99.999999999999744,45.090292378634011,-54.909707621365733,7,-4.2643920939758324,0.93409546998960735,-0.0096997660555373511,0.92012610035294662,0.4214699498638465,0.027082544230843286,5.5504310481805783,0,0,0,1,0,17,9,1
5,0.050000000000000003,0.10000000000000001,4,6.9145332139503726,22.552849865712517,45.090292378634011,22.537442512921494,7,-4.8941153072212291,0.84782573378776194,-0.010200271663972194,0.91364156380087924,0.26942159925400511,0.062065747711700286,1.0780863780784873,0,0,17,77,0,11,13,1
5,0.10000000000000001,0.10000000000000001,1,4.2122218718244575,100.00000000000016,44.992853331341564,-55.007146668658592,7,-1.7238349799006896,0.93493377322001447,-0.0099637750307508544,0.92469883780016016,0.42156647748635162,0.027161710802367827,5.5313803436541322,0,0,0,1,0,18,9,1
5,0.10000000000000001,0.10000000000000001,2,4.104794069082419,83.829043408563678,44.992853331341564,-38.836190077222113,7,-2.1191483369749595,0.92139458438200328,-0.0099623833976104637,NaN,0.45269348742971655,0.066375547560943812,2.3326442771442326,0,0,2,37,0,17,10,1
5,0.10000000000000001,0.10000000000000001,3,5.6645248707246134,17.81690248607314,44.992853331341564,27.175950845268424,7,-1.7401909566765681,0.97228204406049767,-0.010212718778286889,NaN,0.30319769661261392,0.027027907031429516,3.4831161450206012,0,0,0,33,0,7,7,1
