network,s_init,s_temporal,policy,target,trial,fold,K95,capture,beforeCapture,d_precue,d_prego,ratio,C,undefinedC,moMs,peakMs,peakSpeedMps,nearZero,missingWindow,boundaryPeak,largePeakCount,denominatorGuard,peakPositionX_M,peakPositionY_M
4,0.20000000000000001,0.10000000000000001,1,5,22,3,50,0.95139810739102681,0.94913610652811764,5.6072496410596662,9.500540745215293,1.6943316872583307,-0.69433168725833072,0,55,205,0.4541313422783288,0,0,0,1,2.2737367544323206e-13,0.0076078309488761264,0.2472446444184625
4,0.20000000000000001,0.10000000000000001,1,5,23,1,50,0.95075730246534862,0.9485570094015362,6.4095322349556225,9.2897754274065623,1.4493687038100811,-0.44936870381008109,0,67,199,0.31162125283671804,0,0,0,1,2.2737367544323206e-13,-0.0044450166195064145,0.22806091603492168
4,0.20000000000000001,0.10000000000000001,1,5,24,1,50,0.95075730246534862,0.9485570094015362,6.0700566871234463,10.746523960253908,1.770415749666846,-0.77041574966684601,0,56,204,0.43680718574843919,0,0,0,1,2.2737367544323206e-13,0.00097319196307910083,0.24524557480112358
4,0.20000000000000001,0.10000000000000001,1,5,25,2,51,0.95151545368536539,0.94932883735200757,6.7489932189987432,7.6292798373296202,1.1304322866783785,-0.13043228667837847,0,57,197,0.44456658494861911,0,0,0,1,2.2737367544323206e-13,0.0024393532958613129,0.24355825364456879
4,0.20000000000000001,0.10000000000000001,1,5,26,3,50,0.95139810739102681,0.94913610652811764,5.5472424670367833,10.238527543185583,1.8456967770970327,-0.84569677709703273,0,54,201,0.46885285362842938,0,0,0,1,2.2737367544323206e-13,0.0040665572708780684,0.2483932926729337
4,0.20000000000000001,0.10000000000000001,1,5,27,1,50,0.95075730246534862,0.9485570094015362,5.5821072129524136,8.4571136246435827,1.515039626078869,-0.515039626078869,0,52,206,0.5080041669261055,0,0,0,1,2.2737367544323206e-13,0.0053141236694105309,0.25482521507714351
4,0.20000000000000001,0.10000000000000001,1,5,28,3,50,0.95139810739102681,0.94913610652811764,5.5736654591652535,8.6540771093250601,1.5526725047866701,-0.55267250478667007,0,49,202,0.43905118935723553,0,0,0,1,2.2737367544323206e-13,0.0032661540838708758,0.24747859380179632
4,0.20000000000000001,0.10000000000000001,1,5,29,2,51,0.95151545368536539,0.94932883735200757,6.2255937219115731,7.3854940631641774,1.1863116022444935,-0.1863116022444935,0,57,207,0.43848479550189079,0,0,0,1,2.2737367544323206e-13,0.0010843722924432364,0.24615347291140716
4,0.20000000000000001,0.10000000000000001,1,5,30,2,51,0.95151545368536539,0.94932883735200757,5.7752284350452605,8.5643906201833779,1.4829527033446701,-0.48295270334467011,0,59,199,0.37746375421955802,0,0,0,1,2.2737367544323206e-13,0.0063136544429476804,0.23623482079226435
4,0.20000000000000001,0.10000000000000001,1,6,1,1,50,0.95067322967603163,0.94840026052189985,5.4907673125922765,9.2369434137409261,1.6822682309915664,-0.68226823099156642,0,77,215,0.41633250534098754,0,0,0,1,2.2737367544323206e-13,-0.025292431073376975,0.23058389773620358
4,0.20000000000000001,0.10000000000000001,1,6,2,1,50,0.95067322967603163,0.94840026052189985,5.8524735955105767,9.8341593780996632,1.6803423744864789,-0.68034237448647894,0,79,213,0.32347049777543802,0,0,0,1,2.2737367544323206e-13,-0.025154819700572428,0.21428603765831283
