network,direction,gridIndex,alphaIndex,betaIndex,alpha,betaNormalized,beta,rho,rank,normalizedVarianceRatio,rawVarianceRatio,minimumRate,endpointRateMax,endpointStateMax,endpointInputMax,analytical,rhoMargin,rateRealizable,modulationOK,endpointBoundsOK,tested,physical,finitePhenotype,feasible,settle,rateMax,stateMax,corticalMax,sustainedMax,feedbackMax,cbMax,totalMax,prIntact,prBlock,analyticPRBlock,analyticAI,kIntact,kBlock,commonK,intactCapture,blockCapture,blockGap,observed,expected,nullSE,nullHalfDifference,alignmentMargin,equilibriumResidual,localMaxReal,localEulerRadius,reason
10,1,21,4,3,0.5,0.5,1.84291522677426,13.5853461323057,7,0.5,0.445158768632294,0.40795507838468,1.77747903127616,14.7906130312047,161.625488624623,0,-13.6601372626325,1,1,1,1,1,0,0,1.10805413187374e-14,1.77747903154527,14.790789377161,100.44536753359,89.2682294842498,10.4885264583051,97.5526821293816,161.625488624623,3.35351154823501,5.50383240068756,5.50383240068757,0.623355140784391,5,7,7,1,1,3.36220623596893,0.623355140784392,0.629441889582223,0.000742744467496977,0.00110536445240772,-0.0258471125466962,0,-286.042260981815,0.942791587046796,finite_geometry;outside_sufficient_bound;
10,1,22,4,4,0.5,0.75,2.76437284016139,30.5670287976877,7,0.8125,0.692521207926096,0.335434965204853,1.85545139047339,14.9461736666243,161.625488624623,1,3.32154540274954,1,1,1,1,1,1,1,8.91423232203807e-15,1.85545139047339,14.9462659939756,117.906831974456,108.736744948922,10.4885264583051,116.127898013477,161.625488624623,3.35351154823501,6.34664049607635,6.34664049607635,0.447430997590459,5,7,7,1,1,7.11964751537817,0.447430997590458,0.629441889582223,0.000742744467496977,0.00110536445240772,0.150077030647237,0,-286.042260981815,0.942791587046796,certified_feasible
10,1,23,4,5,0.5,1,3.68583045354851,54.3413845292226,7,1.25,1.039739017205,0.262914852025027,2.03013264428333,15.1255996001765,161.625488624623,1,27.0959011342844,1,1,1,1,1,1,1,7.05802891885323e-15,2.03013264428333,15.1256173291388,138.765614543607,131.21282289625,10.4885264583051,140.088293457927,161.625488624623,3.35351154823501,6.708228495546,6.70822849554601,0.323476947490555,5,7,7,1,1,12.3800653065511,0.323476947490555,0.629441889582223,0.000742744467496977,0.00110536445240772,0.27403108074714,0,-286.042260981815,0.942791587046796,certified_feasible
10,1,24,4,6,0.5,1.25,4.60728806693564,84.9084133269103,7,1.8125,1.48681219646901,0.166132768159711,2.20481389809327,15.3280527730935,165.874428434292,1,57.6629299319721,1,1,1,1,1,1,1,5.97617010899487e-15,2.20481389809327,15.3280527730935,161.703533716981,155.396886603948,10.5112955487392,165.874428434292,161.703533716981,3.35351154823501,6.85812546563529,6.85812546563529,0.239228406970308,5,7,7,1,1,19.1434596094878,0.239228406970309,0.629441889582223,0.000742744467496977,0.00110536445240772,0.358279621267387,0,-286.042260981815,0.942791587046796,certified_feasible
10,1,25,5,1,0.75,0.1,0.368583045354852,0.241517264574323,7,0.572500000000001,0.569122838197434,0.243450573224453,1.77348678369432,14.744660162509,161.625488624623,0,-27.0039661303638,1,1,1,1,1,0,0,1.07065268606414e-14,1.77348680809972,14.744660162509,118.091386091968,36.6520378739277,10.4885264583051,46.568572525029,161.625488624623,3.35351154823501,3.4151181733363,3.41511817333631,0.983196873515485,5,5,5,0.961850485377221,0.95752620989964,0.554126431062504,0.9871845844848,0.518721523051799,0.000921781771060334,0.00273618195641701,-0.500396922777528,0,-286.042260981815,0.942791587046796,finite_geometry;outside_sufficient_bound;
10,1,26,5,2,0.75,0.25,0.921457613387129,1.50948290358952,7,0.625000000000001,0.609013706489117,0.263628748879809,1.81279992990122,14.8103564260664,161.625488624623,0,-25.7360004913487,1,1,1,1,1,0,0,1.01676410532236e-14,1.81279994000138,14.8103564260664,120.324496433296,44.6341147421249,10.4885264583051,53.1136827017125,161.625488624623,3.35351154823501,3.72188973511969,3.72188973511969,0.914955734452644,5,6,6,0.983069157879468,0.970476527805807,0.203002013029576,0.921824595588555,0.578811671028331,0.00084774125902368,0.000960999307757726,-0.374946785904752,0,-286.042260981815,0.942791587046796,finite_geometry;outside_sufficient_bound;
10,1,27,5,3,0.75,0.5,1.84291522677426,6.03793161435807,7,0.8125,0.755382782963338,0.283524897237051,1.87832184024605,14.9398317854942,161.625488624623,0,-21.2075517805801,1,1,1,1,1,0,0,9.09770463868791e-15,1.87832184295952,14.9398317854942,129.42461523725,65.6064114481252,10.4885264583051,71.6872282124857,161.625488624623,3.35351154823501,4.6017430357509,4.6017430357509,0.767369829365465,5,7,7,1,1,3.80752275152087,0.767369829365465,0.629441889582223,0.000742744467496977,0.00110536445240772,-0.16986180112777,0,-286.042260981815,0.942791587046796,finite_geometry;outside_sufficient_bound;
10,1,28,5,4,0.75,0.75,2.76437284016139,13.5853461323057,7,1.125,1.00160722942266,0.233823859633751,1.94384375059088,15.0937163299339,161.625488624623,0,-13.6601372626325,1,1,1,1,1,0,0,7.47517928941396e-15,1.94384375145108,15.0937163299339,143.393653625869,90.302051642639,10.4885264583051,96.3774828867917,161.625488624623,3.35351154823501,5.50383240068756,5.50383240068757,0.623355140784391,5,7,7,1,1,7.56496403093013,0.623355140784391,0.629441889582223,0.000742744467496977,0.00110536445240772,-0.0258471125466957,0,-286.042260981815,0.942791587046796,finite_geometry;outside_sufficient_bound;
10,1,29,5,5,0.75,1,3.68583045354851,24.1517264574323,7,1.5625,1.34768704586709,0.151626974364785,2.08080579046072,15.2712721826335,161.625488624623,0,-3.09375693750591,1,1,1,1,1,1,0,6.35138768807756e-15,2.08080579046071,15.2712721826335,160.968975440993,116.374318997452,10.4885264583051,124.183777933039,161.625488624623,3.35351154823501,6.13538658387144,6.13538658387144,0.499968530438928,5,7,7,1,1,12.825381822103,0.499968530438929,0.629441889582223,0.000742744467496977,0.00110536445240772,0.0975394977987669,0,-286.042260981815,0.942791587046796,outside_sufficient_bound;
10,1,30,5,6,0.75,1.25,4.60728806693564,37.7370725897379,7,2.125,1.79362223229662,0.0321887174135378,2.25548704427066,15.4716843963918,181.103684369899,1,10.4915891947997,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.35351154823501,NaN,6.50442315312214,0.40080764411074,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,modulation_envelope;
10,1,31,6,1,1,0.1,0.368583045354852,0.135853461323057,7,1.01,1.00616764106364,0.0308141434686005,1.87432959266421,14.9383464269134,161.625488624623,0,-27.1096299336151,1,1,1,1,1,0,0,8.14462112699385e-15,1.87432965242203,14.9383464269134,151.529962492815,11.0932854771943,10.4885264583051,15.3450161189362,161.625488624623,3.35351154823501,3.38829003574748,3.38829003574749,0.990321621569916,5,5,5,0.961850485377221,0.95939934902978,0.985113655222234,0.992698960977011,0.518721523051799,0.000921781771060334,0.00273618195641701,-0.50591129926974,0,-286.042260981815,0.942791587046796,finite_geometry;outside_sufficient_bound;
10,1,32,6,2,1,0.25,0.921457613387129,0.849084133269103,7,1.0625,1.04537571365464,0.0425567220524271,1.91364273887111,15.003111123733,161.625488624623,0,-26.3963992616691,1,1,1,1,1,0,0,7.86221854547988e-15,1.91364276874031,15.003111123733,153.570340333002,27.7332136929857,10.4885264583051,29.7512807013524,161.625488624623,3.35351154823501,3.56560441299692,3.56560441299692,0.947315941945666,5,6,6,0.983069157879468,0.975661728424373,0.360892467608121,0.952355044634062,0.578811671028331,0.00084774125902368,0.000960999307757726,-0.405477234950259,0,-286.042260981815,0.942791587046796,finite_geometry;outside_sufficient_bound;
