network,policy,target,trial,MOms,peakMs,peakMps,nearZero,boundaryPeak,missingWindow,numberLargePeaks
1,1,6,28,54,199,0.405631104424396,0,0,0,1
1,1,6,29,57,204,0.439596649516329,0,0,0,1
1,1,6,30,56,199,0.402744648682685,0,0,0,1
1,1,7,1,62,204,0.408450199211775,0,0,0,1
1,1,7,2,58,204,0.421081061831561,0,0,0,1
1,1,7,3,59,205,0.430287530692225,0,0,0,1
1,1,7,4,59,205,0.408279841797527,0,0,0,1
1,1,7,5,58,207,0.426863765544463,0,0,0,1
1,1,7,6,57,198,0.426151419758262,0,0,0,1
1,1,7,7,51,192,0.405729678809585,0,0,0,1
1,1,7,8,55,201,0.407966938973375,0,0,0,1
1,1,7,9,57,197,0.397716657905732,0,0,0,1
1,1,7,10,59,208,0.418205934699861,0,0,0,1
1,1,7,11,58,205,0.418270877823864,0,0,0,1
1,1,7,12,52,200,0.406998584265907,0,0,0,1
1,1,7,13,51,194,0.424599420466055,0,0,0,1
1,1,7,14,54,198,0.396701918199184,0,0,0,1
1,1,7,15,54,199,0.403104436821098,0,0,0,1
1,1,7,16,56,200,0.409925218201215,0,0,0,1
1,1,7,17,57,201,0.410037172575523,0,0,0,1
1,1,7,18,56,200,0.431189681905651,0,0,0,1
1,1,7,19,58,205,0.405344905476755,0,0,0,1
1,1,7,20,57,206,0.432798587969982,0,0,0,1
1,1,7,21,51,194,0.408296375552326,0,0,0,1
1,1,7,22,54,199,0.418509002069953,0,0,0,1
1,1,7,23,56,198,0.413171486884735,0,0,0,1
1,1,7,24,55,202,0.414792352691742,0,0,0,1
1,1,7,25,58,204,0.425945290250717,0,0,0,1
1,1,7,26,55,204,0.447251728286553,0,0,0,1
1,1,7,27,55,199,0.414968515205969,0,0,0,1
1,1,7,28,57,204,0.395638181087699,0,0,0,1
1,1,7,29,57,202,0.398538966463723,0,0,0,1
1,1,7,30,49,191,0.420821993376206,0,0,0,1
1,1,8,1,56,198,0.432592394260736,0,0,0,1
1,1,8,2,51,193,0.395514577388454,0,0,0,1
1,1,8,3,51,195,0.389374838491844,0,0,0,1
1,1,8,4,53,194,0.396695561750324,0,0,0,1
1,1,8,5,52,198,0.441596272178253,0,0,0,1
1,1,8,6,56,200,0.405257317699276,0,0,0,1
1,1,8,7,53,198,0.414095425563972,0,0,0,1
1,1,8,8,53,198,0.44154651552293,0,0,0,1
1,1,8,9,57,204,0.462147830357095,0,0,0,1
1,1,8,10,55,200,0.385711887213609,0,0,0,1
1,1,8,11,48,185,0.419966382429711,0,0,0,1
1,1,8,12,63,207,0.42136121200017,0,0,0,1
1,1,8,13,58,203,0.428166597168461,0,0,0,1
1,1,8,14,51,193,0.431078361518346,0,0,0,1
1,1,8,15,54,198,0.454883395196266,0,0,0,1
1,1,8,16,55,196,0.403090149326844,0,0,0,1
1,1,8,17,57,202,0.424776855468606,0,0,0,1
1,1,8,18,58,202,0.411367312721088,0,0,0,1
1,1,8,19,57,197,0.420703442758602,0,0,0,1
1,1,8,20,53,199,0.447138240915006,0,0,0,1
1,1,8,21,53,194,0.401280333325801,0,0,0,1
1,1,8,22,49,197,0.482081912454683,0,0,0,1
1,1,8,23,57,198,0.406115582982507,0,0,0,1
1,1,8,24,51,198,0.407525958205733,0,0,0,1
1,1,8,25,53,200,0.428917624749009,0,0,0,1
1,1,8,26,55,196,0.406858972427981,0,0,0,1
1,1,8,27,54,196,0.483836761484559,0,0,0,1
1,1,8,28,56,203,0.467492671221236,0,0,0,1
1,1,8,29,55,199,0.413252136158014,0,0,0,1
1,1,8,30,57,197,0.356539395736797,0,0,0,1
1,2,1,1,52,200,0.469847647197788,0,0,0,1
1,2,1,2,54,204,0.526262395081296,0,0,0,1
1,2,1,3,61,212,0.460610627595271,0,0,0,1
1,2,1,4,60,207,0.457108824098256,0,0,0,1
1,2,1,5,54,196,0.456376253115541,0,0,0,1
1,2,1,6,59,205,0.398952486808246,0,0,0,1
1,2,1,7,50,189,0.426684063679217,0,0,0,1
1,2,1,8,58,202,0.420873996142238,0,0,0,1
1,2,1,9,58,205,0.497907068546778,0,0,0,1
1,2,1,10,57,200,0.413484420748553,0,0,0,1
1,2,1,11,57,197,0.388134692333292,0,0,0,1
1,2,1,12,60,202,0.425194514125848,0,0,0,1
1,2,1,13,55,211,0.485013086676901,0,0,0,1
1,2,1,14,61,192,0.30840205982574,0,0,0,1
1,2,1,15,52,197,0.486167257343038,0,0,0,1
1,2,1,16,59,205,0.421001767012598,0,0,0,1
1,2,1,17,57,192,0.360456480195634,0,0,0,1
1,2,1,18,48,188,0.447751048342533,0,0,0,1
1,2,1,19,54,208,0.535725016813417,0,0,0,1
1,2,1,20,53,194,0.470703902459209,0,0,0,1
1,2,1,21,55,195,0.386941650251357,0,0,0,1
1,2,1,22,55,198,0.395984045121547,0,0,0,1
1,2,1,23,56,205,0.441436799031149,0,0,0,1
1,2,1,24,55,190,0.397570843376779,0,0,0,1
1,2,1,25,57,200,0.412397225864403,0,0,0,1
