network,eta,s_init,s_temporal,condition,target,goBias,cueEqDistance,relativeBias,dispersion,C,endpointRmsM
1,1,0.10000000000000001,0.050000000000000003,1,3,0.17904949729581796,2.8729261487974851,0.062323042090992258,0.65551927352376793,0.37870572806502634,0.010885527359980518
1,1,0.10000000000000001,0.050000000000000003,1,4,0.15020169793862667,2.5628454533636789,0.058607395830868464,0.65470396659223273,0.35677479593899281,0.012420862747138694
1,1,0.10000000000000001,0.050000000000000003,1,5,0.18861244861734955,2.9525225589052773,0.063881797633845147,0.65956523007798851,0.33081572927117259,0.011261058459176911
1,1,0.10000000000000001,0.050000000000000003,1,6,0.18215312316899224,2.9917723541986527,0.060884686935942359,0.63970922667282137,0.38365912286924647,0.009315228146556177
1,1,0.10000000000000001,0.050000000000000003,1,7,0.16018380909091232,3.1056411274166167,0.051578338423203113,0.68537281091642643,0.31725254698676469,0.0099460440300615498
1,1,0.10000000000000001,0.050000000000000003,1,8,0.15587510922191092,2.6775417422175432,0.058215753190392829,0.65898579772519728,0.33484333887634171,0.0088272484978600928
1,1,0.10000000000000001,0.050000000000000003,2,1,0.19258962217756623,2.7086985697539658,0.071100425986144106,0.67852556200843805,0.33491873449168574,0.013136711765995962
1,1,0.10000000000000001,0.050000000000000003,2,2,0.17910869563692072,2.8269626147682949,0.063357291922164646,0.69269645446878514,0.30672784097015698,0.015551014265265893
1,1,0.10000000000000001,0.050000000000000003,2,3,0.16474529479496824,2.7418082460804039,0.060086366371712004,0.69405672445500488,0.34111098491394132,0.016204487930598657
1,1,0.10000000000000001,0.050000000000000003,2,4,0.19429172542455289,2.6823134333279008,0.072434385560787518,0.69033139136759958,0.32771283979277027,0.016032790047171428
1,1,0.10000000000000001,0.050000000000000003,2,5,0.21129911925327474,2.9106982773160057,0.072593961696406584,0.6952126215669846,0.29956693471070611,0.018309936280567474
1,1,0.10000000000000001,0.050000000000000003,2,6,0.17962588239397392,2.8830662505849967,0.062303765082584013,0.67536726323605922,0.352772644535712,0.014003354237646773
1,1,0.10000000000000001,0.050000000000000003,2,7,0.16768464412431586,2.8927333412860747,0.057967542922489103,0.72255058765142877,0.28218211373245161,0.014390442957590257
1,1,0.10000000000000001,0.050000000000000003,2,8,0.17293310545390075,2.8501869805401356,0.060674301943912608,0.69336860136570133,0.3146394069778809,0.013274256582488469
1,1,0.10000000000000001,0.20000000000000001,1,1,0.48454286694871868,2.0937255051148562,0.23142616630738228,2.5695237989714386,-0.47941690227313866,0.039518641261918758
1,1,0.10000000000000001,0.20000000000000001,1,2,0.52093381533777328,3.2688063510108782,0.15936515027165024,2.6393461650763212,-0.56249637484711634,0.046991167052058545
1,1,0.10000000000000001,0.20000000000000001,1,3,0.57043736071834839,2.8729261487974851,0.19855622148766866,2.6101002026726281,-0.45449118726278276,0.043387868699994489
1,1,0.10000000000000001,0.20000000000000001,1,4,0.48295754227113485,2.5628454533636789,0.18844583142431143,2.6162736422989346,-0.50421004765238731,0.049417723676801605
1,1,0.10000000000000001,0.20000000000000001,1,5,0.56874243556061754,2.9525225589052773,0.1926293277066419,2.6304450393719665,-0.54475816386708065,0.044834066103585951
1,1,0.10000000000000001,0.20000000000000001,1,6,0.525123567748769,2.9917723541986527,0.17552256842396805,2.548137805670684,-0.42958639635281931,0.037147936254044757
1,1,0.10000000000000001,0.20000000000000001,1,7,0.46929114469101618,3.1056411274166167,0.15110926389662716,2.7325640446153128,-0.56596657746949741,0.040084620480680538
1,1,0.10000000000000001,0.20000000000000001,1,8,0.46942380479237333,2.6775417422175432,0.17531894924020719,2.6320967837824329,-0.54360974524362227,0.034971551299009182
1,1,0.10000000000000001,0.20000000000000001,2,1,0.53104991328927131,2.7086985697539658,0.19605352888620131,2.7113925864505064,-0.54554508063791429,0.052094189230384204
1,1,0.10000000000000001,0.20000000000000001,2,2,0.55009897773151029,2.8269626147682949,0.19459011408843757,2.7654341518352745,-0.61439147253341397,0.061294014354055237
1,1,0.10000000000000001,0.20000000000000001,2,3,0.54440156666858774,2.7418082460804039,0.19855566757698895,2.7634943272843642,-0.53410750954514408,0.064645117760684948
1,1,0.10000000000000001,0.20000000000000001,2,4,0.53218321920158385,2.6823134333279008,0.19840456099916448,2.7560944946570518,-0.57081831960237239,0.063328554378153795
1,1,0.10000000000000001,0.20000000000000001,2,5,0.6333364689976716,2.9106982773160057,0.21758918604977487,2.7688941704336627,-0.61002952301761493,0.072554269394186702
1,1,0.10000000000000001,0.20000000000000001,2,6,0.5270887061156394,2.8830662505849967,0.18282226640081164,2.6933288901501422,-0.50577516135188072,0.054972905303220125
1,1,0.10000000000000001,0.20000000000000001,2,7,0.51596340835606702,2.8927333412860747,0.17836535466026601,2.8798412873359709,-0.64523523441949504,0.058724179389357881
1,1,0.10000000000000001,0.20000000000000001,2,8,0.50434613435171904,2.8501869805401356,0.17695194658988336,2.7672718304792903,-0.58679160234548655,0.052081614177758202
2,0,0.050000000000000003,0.10000000000000001,1,1,2.3638352220548335,2.518083898144218,0.93874363113831794,2.8694508237561149,-2.1997521736708245,0.030224344189507618
2,0,0.050000000000000003,0.10000000000000001,1,2,2.0718382608548196,3.131956527714721,0.66151565084671449,2.9753308647240813,-2.3392394121146469,0.023213987565704145
2,0,0.050000000000000003,0.10000000000000001,1,3,2.2846885347828225,3.1506994556677848,0.72513693131628354,2.8689947465951069,-2.246907060344324,0.026933311715120818
2,0,0.050000000000000003,0.10000000000000001,1,4,2.3034628038977005,2.2660233035601496,1.0165221162018634,2.845580197172433,-2.1290039014786775,0.027094585161208488
2,0,0.050000000000000003,0.10000000000000001,1,5,1.8628501889195448,2.454150812498245,0.75906100775576402,2.9268372076192373,-2.343955191881649,0.026663645463966903
2,0,0.050000000000000003,0.10000000000000001,1,6,1.9939938742937946,2.7405819606949198,0.72758045659330861,2.9276030910323749,-2.4160969222708544,0.023711870189684153
2,0,0.050000000000000003,0.10000000000000001,1,7,2.7956918946266649,3.4208722124520752,0.8172453459238449,2.8806794760520598,-2.1331381823747964,0.02691929673235335
2,0,0.050000000000000003,0.10000000000000001,1,8,1.4391759408007254,2.8139955417778286,0.51143504651449501,2.8175359146633223,-1.9815485432273598,0.022267230094028988
2,0,0.050000000000000003,0.10000000000000001,2,1,2.1159768859478807,2.8095147791128845,0.75314673611220828,3.2051691186259208,-2.561173791137799,0.078453926560118653
