network,eta,s_init,s_temporal,condition,rep,r2,lambdaIndex1,lambdaIndex2,lambdaIndex3,fullLambdaIndex
1,0,0.10000000000000001,0.10000000000000001,1,94,-0.0098932322271299,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,1,95,-0.02485322574823412,23,19,21,20
1,0,0.10000000000000001,0.10000000000000001,1,96,-0.0086813150492874858,25,21,25,25
1,0,0.10000000000000001,0.10000000000000001,1,97,-0.022508232014551544,22,20,25,22
1,0,0.10000000000000001,0.10000000000000001,1,98,-0.0048460844859905539,22,22,25,25
1,0,0.10000000000000001,0.10000000000000001,1,99,-0.0051259455880712235,23,21,21,21
1,0,0.10000000000000001,0.10000000000000001,1,100,-0.022553300134756427,25,21,25,24
1,0,0.10000000000000001,0.10000000000000001,2,1,-0.0095679629486913331,21,23,25,22
1,0,0.10000000000000001,0.10000000000000001,2,2,-0.011625807285223333,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,2,3,-0.01668449528298277,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,2,4,-0.0053439685238985124,25,24,24,25
1,0,0.10000000000000001,0.10000000000000001,2,5,-0.008709091585467732,24,22,25,25
1,0,0.10000000000000001,0.10000000000000001,2,6,-0.0061079712329812352,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,2,7,-0.0076175429591043287,22,22,22,22
1,0,0.10000000000000001,0.10000000000000001,2,8,-0.018535395948917399,22,25,25,25
1,0,0.10000000000000001,0.10000000000000001,2,9,-0.012849936498741332,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,2,10,-0.0065602146069867473,25,25,25,25
1,0,0.10000000000000001,0.10000000000000001,2,11,-0.010865184346621204,25,25,25,25
