eta,s_init,s_temporal,condition,metric,median,bootstrapSE,availableN
1,0.10000000000000001,0.050000000000000003,2,peakTime,209.25,3.2520816407148798,10
0,0.10000000000000001,0.20000000000000001,2,peakTime,312.75,27.345012597743896,10
1,0.10000000000000001,0.20000000000000001,2,peakTime,222.25,4.7478447123870122,10
0,0.050000000000000003,0.10000000000000001,1,peakSpeed,0.41886987042820051,0.0011684274150280418,10
1,0.050000000000000003,0.10000000000000001,1,peakSpeed,0.41658359948579488,0.00073591406762813503,10
0,0.10000000000000001,0.10000000000000001,1,peakSpeed,0.41873381772942048,0.0010897289442635821,10
1,0.10000000000000001,0.10000000000000001,1,peakSpeed,0.41657936400408191,0.00073689305876362685,10
0,0.20000000000000001,0.10000000000000001,1,peakSpeed,0.41922667344201447,0.0011291024836212701,10
1,0.20000000000000001,0.10000000000000001,1,peakSpeed,0.4165695192460665,0.00073529592134800913,10
0,0.10000000000000001,0.050000000000000003,1,peakSpeed,0.41814596030176293,0.00071673886966555937,10
1,0.10000000000000001,0.050000000000000003,1,peakSpeed,0.41603158283858738,0.00033299477304192407,10
0,0.10000000000000001,0.20000000000000001,1,peakSpeed,0.42244897848868634,0.0021166648592200838,10
1,0.10000000000000001,0.20000000000000001,1,peakSpeed,0.41972601797953646,0.0014971202482161956,10
0,0.050000000000000003,0.10000000000000001,2,peakSpeed,0.26156295722199735,0.0077393426666276374,10
1,0.050000000000000003,0.10000000000000001,2,peakSpeed,0.21965866657371202,0.0088826672047899943,10
0,0.10000000000000001,0.10000000000000001,2,peakSpeed,0.26722244119354305,0.007382865398109232,10
1,0.10000000000000001,0.10000000000000001,2,peakSpeed,0.21975178488822117,0.0091548717866536487,10
0,0.20000000000000001,0.10000000000000001,2,peakSpeed,0.27569943426012522,0.0076399817383066178,10
1,0.20000000000000001,0.10000000000000001,2,peakSpeed,0.21996046062618452,0.009601410617449303,10
0,0.10000000000000001,0.050000000000000003,2,peakSpeed,0.22856862163780603,0.0089050727808358057,10
1,0.10000000000000001,0.050000000000000003,2,peakSpeed,0.21334841453123879,0.0093959073366516894,10
0,0.10000000000000001,0.20000000000000001,2,peakSpeed,0.36142424825228836,0.0041336247442117511,10
1,0.10000000000000001,0.20000000000000001,2,peakSpeed,0.25472773047921965,0.0076526866661757549,10
0,0.050000000000000003,0.10000000000000001,1,endpoint,26.376954054884301,0.88712580831597043,10
1,0.050000000000000003,0.10000000000000001,1,endpoint,19.754742707470392,0.52027695715490208,10
0,0.10000000000000001,0.10000000000000001,1,endpoint,26.376723656698772,0.91484191994014752,10
1,0.10000000000000001,0.10000000000000001,1,endpoint,19.753314565421711,0.52040476012709624,10
