Network,Target,Trial,InitialNorm,InitialActiveChangeFraction
1,3,7,1.47413103343393,0
1,3,8,1.45520869691844,0
1,3,9,1.42331928245667,0
1,3,10,1.45685868937366,0
1,3,11,1.39090932260434,0
1,3,12,1.35871034703006,0.005
1,3,13,1.47259661932659,0.005
1,3,14,1.43655824689878,0.005
1,3,15,1.45713876178702,0.005
1,3,16,1.33804901193618,0.005
1,3,17,1.45786894930821,0
1,3,18,1.45782173035647,0.005
1,3,19,1.36118911712718,0
1,3,20,1.3905330991703,0.005
1,3,21,1.4320369720812,0
1,3,22,1.47234879826111,0.005
1,3,23,1.30283822429003,0
1,3,24,1.50876375679645,0.005
1,3,25,1.39851671713541,0
1,3,26,1.42353784143784,0
1,3,27,1.45217339958365,0
1,3,28,1.58873392494545,0
1,3,29,1.35393014794959,0
1,3,30,1.45919310893035,0.005
1,3,31,1.33396041561333,0.005
1,3,32,1.24599196424072,0.005
1,3,33,1.49944849852729,0
1,3,34,1.48859995571945,0
1,3,35,1.44394271144734,0.005
1,3,36,1.53678934155732,0.01
1,3,37,1.29589533029661,0.005
1,3,38,1.36151004585312,0.005
1,3,39,1.28658824867221,0.005
1,3,40,1.57667298324586,0
1,3,41,1.2773006759373,0
1,3,42,1.43898454511802,0
1,3,43,1.37115062682203,0.005
1,3,44,1.45416181519503,0
1,3,45,1.44797138202097,0
1,3,46,1.35896558703616,0.005
1,3,47,1.36766467100343,0.005
1,3,48,1.3713684431079,0.005
1,3,49,1.33416498655492,0.005
1,3,50,1.28037906834808,0
1,3,51,1.26338073131247,0
1,3,52,1.62162573374154,0
1,3,53,1.51045066567875,0
1,3,54,1.28819014564875,0.005
1,3,55,1.49250763255618,0
1,3,56,1.35759452207865,0
1,3,57,1.4120293737325,0.005
1,3,58,1.43167723673481,0.005
1,3,59,1.43224522741486,0.005
1,3,60,1.49353954461605,0
1,3,61,1.35473076407712,0.005
1,3,62,1.29557438445253,0.005
1,3,63,1.40037893191659,0.005
1,3,64,1.41429155359556,0
1,3,65,1.38280181206743,0
1,3,66,1.45718685959249,0.005
1,3,67,1.53187024498425,0.005
1,3,68,1.41941640752405,0
1,3,69,1.47124814916871,0.005
1,3,70,1.37826756147871,0.005
1,3,71,1.42724780386758,0.005
1,3,72,1.39877576473149,0
1,3,73,1.61073048007232,0.005
1,3,74,1.3556944839543,0.005
1,3,75,1.46586553768409,0.01
1,3,76,1.27225486756936,0.005
1,3,77,1.37042744170326,0
1,3,78,1.37852576918261,0.01
1,3,79,1.47882574724557,0
1,3,80,1.42073969367278,0.01
1,3,81,1.27899899970438,0.005
1,3,82,1.46720795089267,0.005
1,3,83,1.42686704826577,0
1,3,84,1.36820230036186,0.005
1,3,85,1.51463972821912,0
1,3,86,1.44659869211094,0
1,3,87,1.3587789127216,0
1,3,88,1.32461276133763,0
1,3,89,1.42439217221618,0
1,3,90,1.37205235596207,0.005
1,3,91,1.36411847147032,0
1,3,92,1.4911583993512,0
1,3,93,1.43203131287016,0.005
1,3,94,1.45464980739822,0
1,3,95,1.42924397990757,0
1,3,96,1.45253893439104,0
1,3,97,1.29028794434149,0
1,3,98,1.45934147155211,0
1,3,99,1.37078036936166,0.01
1,3,100,1.30384191134018,0.005
1,4,1,1.52775249274978,0
1,4,2,1.35633617578378,0
1,4,3,1.4393845799083,0
1,4,4,1.26742060931726,0
1,4,5,1.5286993899446,0
1,4,6,1.38307118542454,0
1,4,7,1.38087040595554,0
1,4,8,1.47249941387146,0
1,4,9,1.4049041085499,0
1,4,10,1.35306829409587,0
1,4,11,1.54661556979244,0
1,4,12,1.42890642955707,0
1,4,13,1.29212001301713,0
1,4,14,1.46883767962539,0
1,4,15,1.53129672915508,0
1,4,16,1.44029672255714,0
1,4,17,1.3817144630138,0
1,4,18,1.46303525551537,0
1,4,19,1.47395947586311,0
1,4,20,1.34385367005389,0
1,4,21,1.48974550137086,0
1,4,22,1.44633054745561,0
1,4,23,1.39405726812786,0
1,4,24,1.48710156121433,0
