network,eta,condition,target,rawBias,cueDistance,biasRatio,goRms,convergence
2,1,1,1,0.263776360736835,2.51229494259049,0.104994185302482,1.36202013309494,-0.122235698902429
2,1,1,2,0.285999110376483,3.1573697227357,0.0905814445223346,1.39489797964072,-0.193297448708806
2,1,1,3,0.263394856126989,3.16400530140165,0.0832472865991425,1.33921349199388,-0.120119777484769
2,1,1,4,0.271436022769328,2.2723426009664,0.119452067946924,1.3261785960172,-0.0551129479103689
2,1,1,5,0.269091900154588,2.48081446200636,0.108469175859673,1.33399621359522,-0.121513453888721
2,1,1,6,0.242324936437068,2.75429593248478,0.0879807189848531,1.36400683117448,-0.145189798277534
2,1,1,7,0.34251922921431,3.42975023039224,0.0998671058257027,1.35241578336943,-0.0665466255605371
2,1,1,8,0.218462817994036,2.83588358523589,0.0770351854820103,1.32020012747574,-0.0380823676078335
2,1,2,1,0.276749006584554,2.80925618556415,0.0985132676779983,1.42272893991998,-0.161504265166113
2,1,2,2,0.314949787363606,2.92703994786179,0.107600098725566,1.44622745365882,-0.214109013705149
2,1,2,3,0.309618546756775,2.99722730643943,0.103301656865187,1.4052782276791,-0.174085547523317
2,1,2,4,0.25984037098386,2.73311842834122,0.0950710252030908,1.38396229821586,-0.0852589494431666
2,1,2,5,0.303100255879985,2.80880729746942,0.10791066234877,1.40089765537408,-0.178739051866744
2,1,2,6,0.279057732801434,2.86789380473941,0.0973040676542033,1.42537705492923,-0.181954156308409
2,1,2,7,0.339492195139899,3.10442355410141,0.10935756323952,1.41255762083993,-0.112707092924695
2,1,2,8,0.262736067239776,2.75711351381127,0.0952938883087861,1.37645554025741,-0.0769914902317218
2,0.75,1,1,0.363156140227935,2.51229494259049,0.144551554863807,1.53958065355881,-0.239276686794518
2,0.75,1,2,0.397303413353978,3.1573697227357,0.125833667971496,1.58923614338782,-0.327196166165845
2,0.75,1,3,0.376564068349809,3.16400530140165,0.119014992858258,1.51822446761245,-0.249095802846142
