network,eta,condition,target,trial,fold,referenceK95,cueDistance,pregoDistance,convergence,foldMean
9,0.5,1,6,8,2,76,3.53076948528052,4.0495494334611,-0.146931129416217,-0.381850863787137
9,0.5,1,6,9,1,74,3.72211267918181,4.78509125875123,-0.285584739418228,-0.246226353882058
9,0.5,1,6,10,2,76,3.32004567672593,4.20507431023602,-0.266571222111274,-0.381850863787137
9,0.5,1,6,11,1,74,3.7831692722277,4.53762800454916,-0.199425052920562,-0.246226353882058
9,0.5,1,6,12,1,74,3.76336688446034,4.61219107673339,-0.225549147434444,-0.246226353882058
9,0.5,1,6,13,2,76,3.63549901330088,5.28542766839809,-0.45383828989109,-0.381850863787137
9,0.5,1,6,14,2,76,3.5837078355932,5.47791323994229,-0.528560220656367,-0.381850863787137
9,0.5,1,6,15,3,76,3.51315419960567,4.90057111913568,-0.394920587227777,-0.437869692391425
9,0.5,1,6,16,2,76,3.45968143163081,4.05918409229741,-0.173282619372273,-0.381850863787137
9,0.5,1,6,17,1,74,3.39299674973078,5.38625123169215,-0.587461359083099,-0.246226353882058
9,0.5,1,6,18,1,74,4.18298250905957,4.324550954983,-0.0338439010004996,-0.246226353882058
9,0.5,1,6,19,1,74,3.50989857308948,3.95183332247933,-0.12591097440199,-0.246226353882058
9,0.5,1,6,20,1,74,3.91537647403476,4.23767196060427,-0.0823153249008997,-0.246226353882058
9,0.5,1,6,21,3,76,3.66558939699602,4.5207566527157,-0.233295975926955,-0.437869692391425
9,0.5,1,6,22,3,76,3.85905225725605,4.88620552838005,-0.266167235541493,-0.437869692391425
9,0.5,1,6,23,3,76,3.57663531018583,5.33956471276753,-0.492901637905629,-0.437869692391425
9,0.5,1,6,24,2,76,3.73751501403837,4.83377773686354,-0.293313262610993,-0.381850863787137
9,0.5,1,6,25,3,76,3.50425998871539,5.62826638179608,-0.606121235273789,-0.437869692391425
9,0.5,1,6,26,3,76,3.01113347459123,4.03995901176856,-0.341673840053537,-0.437869692391425
9,0.5,1,6,27,3,76,3.60962435407361,5.37388621299041,-0.488766055926501,-0.437869692391425
9,0.5,1,6,28,1,74,3.80063935210613,4.84895325438316,-0.275825671724445,-0.246226353882058
9,0.5,1,6,29,1,74,3.25763276514892,4.16430860051434,-0.278323525311171,-0.246226353882058
9,0.5,1,6,30,3,76,3.7020714249845,3.81385469371628,-0.0301947898620702,-0.437869692391425
9,0.5,1,7,1,2,76,3.44456278014201,3.76260644920277,-0.0923320866422555,-0.410971242353359
9,0.5,1,7,2,2,76,3.42126801021051,5.55758365135427,-0.62442218346183,-0.410971242353359
9,0.5,1,7,3,2,76,3.6640354020119,5.34215434018206,-0.457997468378365,-0.410971242353359
